PERIOD,CONTROL ID,PREPARER,PREPARER DATE,REVIEWER,REVIEWER DATE,KEY CONTROLQUESMARK
March 2025,1111,Andrea,4/1/2025,Bianca,,No
March 2025,2222,Andrea,4/2/2025,Connie,4/4/2025,Yes
March 2025,3333,Daisy,4/1/2025,Andrea,4/10/2025,No
March 2025,4444,Daisy,4/1/2025,,2025-04-13,Yes
March 2025,5555,Bianca,2025-04-03,Connie,2025-04-01,Yes
March 2025,6666,Bianca,2025-04-03,Elloise,,Yes
March 2025,7777,Francis,4/4/2025,Francis,4/4/2025,Yes
March 2025,8888,Georgina,,Bianca,,Yes
March 2025,9999,Georgina,4/5/2025,Connie,,No
April 2025,1111,Andrea,5/5/2025,Connie,,No
April 2025,2222,Andrea,5/3/2025,Daisy,5/4/2025,Yes
April 2025,3333,Daisy,5/1/2025,Andrea,2025-05-02,No
April 2025,4444,Daisy,2025-05-03,Francis,5/1/2025,Yes
April 2025,5555,Connie,5/2/2025,Connie,5/1/2025,No
April 2025,6666,Bianca,,Elloise,2025-05-01,Yes
April 2025,7777,Connie,5/3/2025,Francis,5/6/2025,Yes
April 2025,8888,Georgina,2025-05-01,Elloise,,Yes
April 2025,9999,Georgina,5/5/2025,Connie,,No
